iter,|u|,lambda,minS11,avgS11,maxS11,avgSlopeFrac
 1,   1.672224e-01,   1.300000e+01,   3.456466e+04,   3.708206e+04,  -1.000000e+40,  8.852603e-316
 2,   2.067078e-01,   1.600000e+01,   4.248857e+04,   4.560478e+04,  -1.000000e+40,   9.959480e-01
 3,   2.465458e-01,   1.900000e+01,   5.039197e+04,   5.411393e+04,  -1.000000e+40,   9.943618e-01
 4,   2.867445e-01,   2.200000e+01,   5.827444e+04,   6.260922e+04,  -1.000000e+40,   9.927419e-01
 5,   3.273126e-01,   2.500000e+01,   6.613557e+04,   7.109034e+04,  -1.000000e+40,   9.910869e-01
 6,   3.682590e-01,   2.800000e+01,   7.397492e+04,   7.955699e+04,  -1.000000e+40,   9.893955e-01
 7,   4.095927e-01,   3.100000e+01,   8.179203e+04,   8.800885e+04,  -1.000000e+40,   9.876663e-01
 8,   4.513232e-01,   3.400000e+01,   8.958644e+04,   9.644557e+04,  -1.000000e+40,   9.858978e-01
 9,   4.934601e-01,   3.700000e+01,   9.735766e+04,   1.048668e+05,  -1.000000e+40,   9.840886e-01
10,   5.360136e-01,   4.000000e+01,   1.051052e+05,   1.132722e+05,  -1.000000e+40,   9.822369e-01
11,   5.789939e-01,   4.300000e+01,   1.128285e+05,   1.216614e+05,  -1.000000e+40,   9.803412e-01
12,   6.224118e-01,   4.600000e+01,   1.205271e+05,   1.300339e+05,  -1.000000e+40,   9.783997e-01
13,   6.662782e-01,   4.900000e+01,   1.282004e+05,   1.383895e+05,  -1.000000e+40,   9.764104e-01
14,   7.106046e-01,   5.200000e+01,   1.358477e+05,   1.467275e+05,  -1.000000e+40,   9.743715e-01
15,   7.554027e-01,   5.500000e+01,   1.434686e+05,   1.550477e+05,  -1.000000e+40,   9.722810e-01
16,   8.006845e-01,   5.800000e+01,   1.510624e+05,   1.633496e+05,  -1.000000e+40,   9.701366e-01
17,   8.464627e-01,   6.100000e+01,   1.586284e+05,   1.716326e+05,  -1.000000e+40,   9.679363e-01
18,   8.927501e-01,   6.400000e+01,   1.661659e+05,   1.798963e+05,  -1.000000e+40,   9.656776e-01
19,   9.395601e-01,   6.700000e+01,   1.736744e+05,   1.881401e+05,  -1.000000e+40,   9.633581e-01
20,   9.869064e-01,   7.000000e+01,   1.811530e+05,   1.963636e+05,  -1.000000e+40,   9.609752e-01
